date,next_open,next_close,diff,up_indicator
2015-05-11,242.31,241.82,-0.4900000000000091,0
2015-05-12,241.82,236.37,-5.449999999999989,0
2015-05-13,236.37,236.99,0.6200000000000045,1
2015-05-14,236.99,237.09,0.09999999999999432,1
2015-05-15,237.09,236.08,-1.009999999999991,0
2015-05-16,236.08,236.32,0.23999999999998067,1
2015-05-17,236.32,232.69,-3.6299999999999955,0
2015-05-18,232.69,232.01,-0.6800000000000068,0
2015-05-19,232.01,233.99,1.9800000000000182,1
2015-05-20,233.99,235.48,1.4899999999999807,1
2015-05-21,235.48,240.55,5.070000000000022,1
2015-05-22,240.55,238.76,-1.7900000000000205,0
2015-05-23,238.76,241.21,2.450000000000017,1
2015-05-24,241.21,237.66,-3.5500000000000114,0
2015-05-25,237.66,237.45,-0.21000000000000796,0
2015-05-26,237.45,237.37,-0.07999999999998408,0
2015-05-27,237.37,237.07,-0.30000000000001137,0
2015-05-28,237.07,236.91,-0.1599999999999966,0
2015-05-29,236.91,233.03,-3.8799999999999955,0
2015-05-30,233.03,229.8,-3.2299999999999898,0
2015-05-31,229.8,223.14,-6.660000000000025,0
2015-06-01,223.14,225.48,2.3400000000000034,1
2015-06-02,225.48,225.42,-0.060000000000002274,0
2015-06-03,225.42,224.0,-1.4199999999999875,0
2015-06-04,224.0,224.78,0.7800000000000011,1
2015-06-05,224.78,225.21,0.4300000000000068,1
2015-06-06,225.21,223.51,-1.700000000000017,0
2015-06-07,223.51,228.72,5.210000000000008,1
2015-06-08,228.72,229.61,0.8900000000000148,1
2015-06-09,229.61,229.25,-0.36000000000001364,0
2015-06-10,229.25,229.79,0.539999999999992,1
2015-06-11,229.79,230.25,0.46000000000000796,1
2015-06-12,230.25,232.39,2.1399999999999864,1
2015-06-13,232.39,233.83,1.4400000000000261,1
2015-06-14,233.83,237.09,3.259999999999991,1
2015-06-15,237.09,249.72,12.629999999999995,1
2015-06-16,249.72,247.71,-2.009999999999991,0
2015-06-17,247.71,248.73,1.0199999999999818,1
2015-06-18,248.73,245.22,-3.509999999999991,0
2015-06-19,245.22,244.95,-0.27000000000001023,0
2015-06-20,244.95,244.2,-0.75,0
2015-06-21,244.2,247.5,3.3000000000000114,1
2015-06-22,247.5,243.78,-3.719999999999999,0
2015-06-23,243.78,240.54,-3.240000000000009,0
2015-06-24,240.54,242.54,2.0,1
2015-06-25,242.54,243.14,0.5999999999999943,1
2015-06-26,243.14,250.94,7.800000000000011,1
2015-06-27,250.94,249.0,-1.9399999999999977,0
2015-06-28,249.0,257.06,8.060000000000002,1
2015-06-29,257.06,263.99,6.930000000000007,1
2015-06-30,263.99,257.37,-6.6200000000000045,0
2015-07-01,257.37,255.05,-2.319999999999993,0
2015-07-02,255.05,255.77,0.7199999999999989,1
2015-07-03,255.77,260.4,4.629999999999967,1
2015-07-04,260.4,269.82,9.420000000000016,1
2015-07-05,269.82,269.78,-0.040000000000020464,0
2015-07-06,269.78,266.5,-3.2799999999999727,0
2015-07-07,266.5,269.47,2.9700000000000273,1
2015-07-08,269.47,268.32,-1.150000000000034,0
2015-07-09,268.32,285.21,16.889999999999986,1
2015-07-10,285.21,292.11,6.900000000000034,1
2015-07-11,292.11,310.71,18.599999999999966,1
2015-07-12,310.71,290.35,-20.359999999999957,0
2015-07-13,290.35,287.18,-3.170000000000016,0
2015-07-14,287.18,283.37,-3.8100000000000023,0
2015-07-15,283.37,276.31,-7.060000000000002,0
2015-07-16,276.31,278.66,2.3500000000000227,1
2015-07-17,278.66,275.77,-2.890000000000043,0
2015-07-18,275.77,273.52,-2.25,0
2015-07-19,273.52,277.47,3.9500000000000455,1
2015-07-20,277.47,274.98,-2.490000000000009,0
2015-07-21,274.98,276.94,1.9599999999999795,1
2015-07-22,276.94,275.12,-1.8199999999999932,0
2015-07-23,275.12,289.06,13.939999999999998,1
2015-07-24,289.06,289.79,0.7300000000000182,1
2015-07-25,289.79,292.31,2.519999999999982,1
2015-07-26,292.31,293.73,1.420000000000016,1
2015-07-27,293.73,294.57,0.839999999999975,1
2015-07-28,294.57,288.44,-6.1299999999999955,0
2015-07-29,288.44,287.37,-1.0699999999999932,0
2015-07-30,287.37,284.28,-3.090000000000032,0
2015-07-31,284.28,280.96,-3.319999999999993,0
2015-08-01,280.96,281.66,0.7000000000000455,1
2015-08-02,281.66,281.36,-0.30000000000001137,0
2015-08-03,281.36,284.31,2.9499999999999886,1
2015-08-04,284.31,282.02,-2.2900000000000205,0
2015-08-05,282.02,278.53,-3.490000000000009,0
2015-08-06,278.53,276.93,-1.599999999999966,0
2015-08-07,276.93,259.24,-17.689999999999998,0
2015-08-08,259.24,263.93,4.689999999999998,1
2015-08-09,263.93,263.77,-0.160000000000025,0
2015-08-10,263.77,269.28,5.509999999999991,1
2015-08-11,269.28,266.37,-2.909999999999968,0
2015-08-12,266.37,262.55,-3.819999999999993,0
2015-08-13,262.55,265.24,2.6899999999999977,1
2015-08-14,265.24,260.69,-4.550000000000011,0
2015-08-15,260.69,257.52,-3.170000000000016,0
2015-08-16,257.52,257.35,-0.16999999999995907,0
