week_number,open_next,close_next,diff_next,indicator
216,3630.13,3743.71,113.57999999999993,1
217,3743.71,3816.77,73.05999999999995,1
218,3816.77,3754.42,-62.34999999999991,0
219,3754.42,3905.29,150.8699999999999,1
220,3905.29,3987.88,82.59000000000015,1
221,3987.88,3998.5,10.61999999999989,1
222,3998.5,4143.78,145.27999999999975,1
223,4143.78,5277.57,1133.79,1
224,5277.57,5175.51,-102.05999999999949,0
225,5175.51,5297.45,121.9399999999996,1
226,5297.45,5293.31,-4.139999999999418,0
227,5293.31,5697.7,404.3899999999994,1
228,5697.7,7073.37,1375.67,1
229,7073.37,7894.0,820.6300000000001,1
230,7894.0,8753.03,859.0300000000007,1
231,8753.03,8521.52,-231.51000000000022,0
232,8521.52,7711.07,-810.4500000000007,0
233,7711.07,9140.95,1429.880000000001,1
234,9140.95,10720.67,1579.7199999999993,1
235,10720.67,10899.9,179.22999999999956,1
236,10899.9,11431.55,531.6499999999996,1
237,11431.55,10173.36,-1258.1899999999987,0
238,10173.36,10603.17,429.8099999999995,1
239,10603.17,9593.05,-1010.1200000000008,0
240,9593.05,11619.32,2026.2700000000004,1
241,11619.32,11370.29,-249.02999999999884,0
242,11370.29,10478.5,-891.7900000000009,0
243,10478.5,10377.9,-100.60000000000036,0
244,10377.9,9766.21,-611.6900000000005,0
245,9766.21,10285.66,519.4500000000007,1
246,10285.66,10347.16,61.5,1
247,10347.16,9933.94,-413.21999999999935,0
248,9933.94,7774.25,-2159.6900000000005,0
249,7774.25,7856.76,82.51000000000022,1
250,7856.76,8347.31,490.5499999999993,1
251,8347.31,8264.51,-82.79999999999927,0
252,8264.51,9467.95,1203.4400000000005,1
253,9467.95,9196.41,-271.5400000000009,0
254,9196.41,8796.94,-399.46999999999935,0
255,8796.94,8466.66,-330.28000000000065,0
256,8466.66,6679.31,-1787.3499999999995,0
257,6679.31,7271.66,592.3499999999995,1
258,7271.66,7541.2,269.53999999999996,1
259,7541.2,7104.48,-436.72000000000025,0
260,7104.48,7489.42,384.9400000000005,1
261,7489.42,7379.38,-110.03999999999996,0
262,7379.38,7519.64,140.26000000000022,1
263,7519.64,8062.16,542.5199999999995,1
264,8062.16,8670.77,608.6100000000006,1
265,8670.77,8645.28,-25.48999999999978,0
266,8645.28,9391.28,746.0,1
267,9391.28,9948.67,557.3899999999994,1
268,9948.67,9786.25,-162.42000000000007,0
269,9786.25,9740.52,-45.72999999999956,0
270,9740.52,8650.04,-1090.4799999999996,0
271,8650.04,7900.95,-749.090000000001,0
272,7900.95,5032.47,-2868.4799999999996,0
273,5032.47,5933.0,900.5299999999997,1
274,5933.0,6238.4,305.39999999999964,1
275,6238.4,7094.59,856.1900000000005,1
276,7094.59,6749.04,-345.5500000000002,0
277,6749.04,7178.92,429.8800000000001,1
278,7178.92,7664.27,485.35000000000036,1
279,7664.27,8637.68,973.4099999999999,1
280,8637.68,8688.24,50.55999999999949,1
281,8688.24,9775.86,1087.6200000000008,1
282,9775.86,8793.5,-982.3600000000006,0
283,8793.5,9532.78,739.2800000000007,1
284,9532.78,9731.41,198.6299999999992,1
285,9731.41,9041.97,-689.4400000000005,0
286,9041.97,9414.92,372.9500000000007,1
287,9414.92,9085.12,-329.7999999999993,0
288,9085.12,9224.17,139.04999999999927,1
289,9224.17,9262.62,38.45000000000073,1
290,9262.62,9184.44,-78.18000000000029,0
291,9184.44,10284.82,1100.3799999999992,1
292,10284.82,11191.93,907.1100000000006,1
293,11191.93,12002.92,810.9899999999998,1
294,12002.92,11806.61,-196.3099999999995,0
295,11806.61,11754.89,-51.720000000001164,0
296,11754.89,11680.78,-74.10999999999876,0
297,11680.78,10087.27,-1593.5100000000002,0
298,10087.27,10369.13,281.85999999999876,1
299,10369.13,10952.37,583.2400000000016,1
300,10952.37,10874.95,-77.42000000000007,0
301,10874.95,10647.08,-227.8700000000008,0
302,10647.08,11337.45,690.3700000000008,1
303,11337.45,11454.98,117.52999999999884,1
